mois;salarie;vehicule_id;anv_vehicule_declare_eur;siret
2024-09;MOREAU Emma;V-005;280.00;84230612300017
2024-10;BERNARD Lucie;V-003;240.00;84230612300017
2024-10;DUPONT Claire;V-001;210.00;84230612300017
2024-10;DURAND Alex;V-012;202.50;84230612300017
2024-10;FOURNIER Léo;V-006;195.00;84230612300017
2024-10;MARTIN Paul;V-002;175.00;84230612300017
2024-10;MOREAU Emma;V-005;280.00;84230612300017
2024-11;BERNARD Lucie;V-003;240.00;84230612300017
2024-11;DUPONT Claire;V-001;210.00;84230612300017
2024-11;DURAND Alex;V-012;202.50;84230612300017
2024-11;FOURNIER Léo;V-006;195.00;84230612300017
2024-11;MARTIN Paul;V-002;175.00;84230612300017
2024-11;MOREAU Emma;V-005;280.00;84230612300017
2024-12;BERNARD Lucie;V-003;240.00;84230612300017
2024-12;DUPONT Claire;V-001;210.00;84230612300017
2024-12;DURAND Alex;V-012;202.50;84230612300017
2024-12;FOURNIER Léo;V-006;195.00;84230612300017
2024-12;MARTIN Paul;V-002;175.00;84230612300017
2024-12;MOREAU Emma;V-005;280.00;84230612300017
2025-01;BERNARD Lucie;V-003;240.00;84230612300017
2025-01;DUPONT Claire;V-001;210.00;84230612300017
2025-01;DURAND Alex;V-012;202.50;84230612300017
2025-01;FOURNIER Léo;V-006;195.00;84230612300017
2025-01;MARTIN Paul;V-002;175.00;84230612300017
2025-01;MOREAU Emma;V-005;280.00;84230612300017
2025-02;BERNARD Lucie;V-003;240.00;84230612300017
2025-02;DUPONT Claire;V-001;210.00;84230612300017
2025-02;FOURNIER Léo;V-006;195.00;84230612300017
2025-02;MARTIN Paul;V-002;175.00;84230612300017
2025-02;MOREAU Emma;V-005;280.00;84230612300017
2025-03;BERNARD Lucie;V-003;240.00;84230612300017
2025-03;DUPONT Claire;V-001;210.00;84230612300017
2025-03;FOURNIER Léo;V-006;195.00;84230612300017
2025-03;GIRARD Anna;V-007;240.00;84230612300017
2025-03;MARTIN Paul;V-002;175.00;84230612300017
2025-03;MOREAU Emma;V-005;280.00;84230612300017
2025-03;NOEL Sam;V-012;202.50;84230612300017
2025-04;BERNARD Lucie;V-003;240.00;84230612300017
2025-04;DUPONT Claire;V-001;210.00;84230612300017
2025-04;FOURNIER Léo;V-006;195.00;84230612300017
2025-04;GIRARD Anna;V-007;240.00;84230612300017
2025-04;LAMBERT Tom;V-008;270.00;84230612300017
2025-04;MARTIN Paul;V-002;175.00;84230612300017
2025-04;MOREAU Emma;V-005;280.00;84230612300017
2025-04;NOEL Sam;V-012;202.50;84230612300017
2025-05;BERNARD Lucie;V-003;240.00;84230612300017
2025-05;DUPONT Claire;V-001;210.00;84230612300017
2025-05;FOURNIER Léo;V-006;195.00;84230612300017
2025-05;GIRARD Anna;V-007;240.00;84230612300017
2025-05;HENRY Jade;V-011;168.75;84230612300017
2025-05;LAMBERT Tom;V-008;270.00;84230612300017
2025-05;MARTIN Paul;V-002;175.00;84230612300017
2025-05;MOREAU Emma;V-005;280.00;84230612300017
2025-05;NOEL Sam;V-012;202.50;84230612300017
2025-06;BERNARD Lucie;V-003;240.00;84230612300017
2025-06;DUPONT Claire;V-001;210.00;84230612300017
2025-06;FOURNIER Léo;V-006;195.00;84230612300017
2025-06;GIRARD Anna;V-007;240.00;84230612300017
2025-06;HENRY Jade;V-011;168.75;84230612300017
2025-06;LAMBERT Tom;V-008;270.00;84230612300017
2025-06;MARTIN Paul;V-002;175.00;84230612300017
2025-06;MOREAU Emma;V-005;280.00;84230612300017
2025-06;NOEL Sam;V-012;202.50;84230612300017
2025-06;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-07;BERNARD Lucie;V-003;240.00;84230612300017
2025-07;DUPONT Claire;V-001;210.00;84230612300017
2025-07;FOURNIER Léo;V-006;195.00;84230612300017
2025-07;GIRARD Anna;V-007;240.00;84230612300017
2025-07;HENRY Jade;V-011;168.75;84230612300017
2025-07;LAMBERT Tom;V-008;270.00;84230612300017
2025-07;MARTIN Paul;V-002;175.00;84230612300017
2025-07;MOREAU Emma;V-005;280.00;84230612300017
2025-07;NOEL Sam;V-012;202.50;84230612300017
2025-07;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-08;BERNARD Lucie;V-003;240.00;84230612300017
2025-08;DUPONT Claire;V-001;210.00;84230612300017
2025-08;FOURNIER Léo;V-006;195.00;84230612300017
2025-08;GIRARD Anna;V-007;240.00;84230612300017
2025-08;HENRY Jade;V-011;168.75;84230612300017
2025-08;LAMBERT Tom;V-008;270.00;84230612300017
2025-08;MARTIN Paul;V-002;175.00;84230612300017
2025-08;MOREAU Emma;V-005;280.00;84230612300017
2025-08;NOEL Sam;V-012;202.50;84230612300017
2025-08;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-09;BERNARD Lucie;V-003;240.00;84230612300017
2025-09;DUPONT Claire;V-001;210.00;84230612300017
2025-09;FOURNIER Léo;V-006;195.00;84230612300017
2025-09;GIRARD Anna;V-007;240.00;84230612300017
2025-09;HENRY Jade;V-011;168.75;84230612300017
2025-09;LAMBERT Tom;V-008;270.00;84230612300017
2025-09;MARTIN Paul;V-002;175.00;84230612300017
2025-09;MOREAU Emma;V-005;280.00;84230612300017
2025-09;NOEL Sam;V-012;202.50;84230612300017
2025-09;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-09;VINCENT Max;V-010;175.00;84230612300017
2025-10;BERNARD Lucie;V-003;240.00;84230612300017
2025-10;DUPONT Claire;V-001;210.00;84230612300017
2025-10;FOURNIER Léo;V-006;195.00;84230612300017
2025-10;GIRARD Anna;V-007;240.00;84230612300017
2025-10;HENRY Jade;V-011;168.75;84230612300017
2025-10;LAMBERT Tom;V-008;270.00;84230612300017
2025-10;MARTIN Paul;V-002;175.00;84230612300017
2025-10;MOREAU Emma;V-005;280.00;84230612300017
2025-10;NOEL Sam;V-012;202.50;84230612300017
2025-10;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-10;VINCENT Max;V-010;175.00;84230612300017
2025-11;BERNARD Lucie;V-003;240.00;84230612300017
2025-11;DUPONT Claire;V-001;210.00;84230612300017
2025-11;FOURNIER Léo;V-006;195.00;84230612300017
2025-11;GIRARD Anna;V-007;240.00;84230612300017
2025-11;HENRY Jade;V-011;168.75;84230612300017
2025-11;LAMBERT Tom;V-008;270.00;84230612300017
2025-11;MARTIN Paul;V-002;175.00;84230612300017
2025-11;MOREAU Emma;V-005;280.00;84230612300017
2025-11;NOEL Sam;V-012;202.50;84230612300017
2025-11;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-11;VINCENT Max;V-010;175.00;84230612300017
2025-12;BERNARD Lucie;V-003;240.00;84230612300017
2025-12;DUPONT Claire;V-001;210.00;84230612300017
2025-12;FOURNIER Léo;V-006;195.00;84230612300017
2025-12;GIRARD Anna;V-007;240.00;84230612300017
2025-12;HENRY Jade;V-011;168.75;84230612300017
2025-12;LAMBERT Tom;V-008;270.00;84230612300017
2025-12;MARTIN Paul;V-002;175.00;84230612300017
2025-12;MOREAU Emma;V-005;280.00;84230612300017
2025-12;NOEL Sam;V-012;202.50;84230612300017
2025-12;ROUSSEAU Zoé;V-009;400.00;84230612300017
2025-12;VINCENT Max;V-010;175.00;84230612300017
2026-01;BERNARD Lucie;V-003;240.00;84230612300017
2026-01;DUPONT Claire;V-001;210.00;84230612300017
2026-01;FOURNIER Léo;V-006;195.00;84230612300017
2026-01;GIRARD Anna;V-007;240.00;84230612300017
2026-01;HENRY Jade;V-011;168.75;84230612300017
2026-01;LAMBERT Tom;V-008;270.00;84230612300017
2026-01;MARTIN Paul;V-002;175.00;84230612300017
2026-01;MOREAU Emma;V-005;280.00;84230612300017
2026-01;NOEL Sam;V-012;202.50;84230612300017
2026-01;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-01;VINCENT Max;V-010;175.00;84230612300017
2026-02;BERNARD Lucie;V-003;240.00;84230612300017
2026-02;DUPONT Claire;V-001;210.00;84230612300017
2026-02;FOURNIER Léo;V-006;195.00;84230612300017
2026-02;GIRARD Anna;V-007;240.00;84230612300017
2026-02;HENRY Jade;V-011;168.75;84230612300017
2026-02;LAMBERT Tom;V-008;270.00;84230612300017
2026-02;MARTIN Paul;V-002;175.00;84230612300017
2026-02;MOREAU Emma;V-005;280.00;84230612300017
2026-02;NOEL Sam;V-012;202.50;84230612300017
2026-02;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-02;VINCENT Max;V-010;175.00;84230612300017
2026-03;BERNARD Lucie;V-003;240.00;84230612300017
2026-03;DUPONT Claire;V-001;210.00;84230612300017
2026-03;FOURNIER Léo;V-006;195.00;84230612300017
2026-03;GIRARD Anna;V-007;240.00;84230612300017
2026-03;HENRY Jade;V-011;168.75;84230612300017
2026-03;LAMBERT Tom;V-008;270.00;84230612300017
2026-03;MARTIN Paul;V-002;175.00;84230612300017
2026-03;MOREAU Emma;V-005;280.00;84230612300017
2026-03;NOEL Sam;V-012;202.50;84230612300017
2026-03;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-03;VINCENT Max;V-010;175.00;84230612300017
2026-04;BERNARD Lucie;V-003;240.00;84230612300017
2026-04;DUPONT Claire;V-001;210.00;84230612300017
2026-04;FOURNIER Léo;V-006;195.00;84230612300017
2026-04;GIRARD Anna;V-007;240.00;84230612300017
2026-04;HENRY Jade;V-011;168.75;84230612300017
2026-04;LAMBERT Tom;V-008;270.00;84230612300017
2026-04;MARTIN Paul;V-002;175.00;84230612300017
2026-04;MOREAU Emma;V-005;280.00;84230612300017
2026-04;NOEL Sam;V-012;202.50;84230612300017
2026-04;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-04;VINCENT Max;V-010;175.00;84230612300017
2026-05;BERNARD Lucie;V-003;240.00;84230612300017
2026-05;DUPONT Claire;V-001;210.00;84230612300017
2026-05;FOURNIER Léo;V-006;195.00;84230612300017
2026-05;GIRARD Anna;V-007;240.00;84230612300017
2026-05;HENRY Jade;V-011;168.75;84230612300017
2026-05;LAMBERT Tom;V-008;270.00;84230612300017
2026-05;MARTIN Paul;V-002;175.00;84230612300017
2026-05;MOREAU Emma;V-005;280.00;84230612300017
2026-05;NOEL Sam;V-012;202.50;84230612300017
2026-05;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-05;VINCENT Max;V-010;175.00;84230612300017
2026-06;BERNARD Lucie;V-003;240.00;84230612300017
2026-06;DUPONT Claire;V-001;210.00;84230612300017
2026-06;FOURNIER Léo;V-006;195.00;84230612300017
2026-06;GIRARD Anna;V-007;240.00;84230612300017
2026-06;HENRY Jade;V-011;168.75;84230612300017
2026-06;LAMBERT Tom;V-008;270.00;84230612300017
2026-06;MARTIN Paul;V-002;175.00;84230612300017
2026-06;MOREAU Emma;V-005;280.00;84230612300017
2026-06;NOEL Sam;V-012;202.50;84230612300017
2026-06;ROUSSEAU Zoé;V-009;400.00;84230612300017
2026-06;VINCENT Max;V-010;175.00;84230612300017
